Unnamed: 0,TransactionNo,ProductNo,ProductName,Quantity,CustomerNo,Country,Date_day,Date_month,Date_year
533828,536412,21448,2,1,17920.0,21,0,0,0
510511,538421,20665,1976,1,17917.0,21,9,0,0
502067,539455,90177B,777,1,12748.0,21,14,0,0
508905,538626,22940,874,5,17338.0,21,10,0,0
509384,538652,21363,1200,1,17890.0,21,10,0,0
509536,538660,21189,2604,4,15808.0,21,10,0,0
496950,539724,22504,425,30,13029.0,21,17,0,0
525083,537403,22633,1135,3,17191.0,21,4,0,0
500569,539436,84991,78,1,16436.0,21,14,0,0
533840,536412,22900,2116,2,17920.0,21,0,0,0
505245,539047,22952,77,24,15290.0,21,12,0,0
504268,538902,22219,1379,24,14150.0,21,12,0,0
516423,538157,22910,1662,6,17576.0,21,7,0,0
510053,538369,85049A,2477,4,17251.0,21,9,0,0
501442,539451,21899,996,1,13451.0,21,14,0,0
530135,536945,22411,1271,2,14083.0,21,2,0,0
505103,539040,72800D,47,4,17214.0,21,12,0,0
519739,537467,22561,2650,3,16059.0,21,5,0,0
518076,537809,22469,1174,12,14217.0,21,6,0,0
515843,538094,17084N,847,25,13117.0,21,7,0,0
524199,537362,21172,1682,4,17596.0,21,4,0,0
507748,538524,21481,857,23,12524.0,8,10,0,0
502313,539434,21485,2021,1,17434.0,21,14,0,0
505365,539053,18098C,1874,1,16725.0,21,12,0,0
520117,537607,21479,2613,6,15965.0,21,5,0,0
535634,536592,21447,4,1,16592.0,21,0,0,0
496418,539740,21154,1970,2,15740.0,21,17,0,0
506482,538844,84029E,2000,53,14680.0,21,11,0,0
532884,536832,71477,626,4,16634.0,21,1,0,0
531106,536876,21485,2021,2,12876.0,2,2,0,0
532502,536790,85123A,654,12,17850.0,21,1,0,0
525778,537434,22919,1189,1,17434.0,21,4,0,0
500331,539436,21908,558,1,16436.0,21,14,0,0
534672,536544,21977,1633,1,17544.0,21,0,0,0
511768,538177,47471,1914,3,17177.0,21,8,0,0
509330,538646,72800E,50,4,17293.0,21,10,0,0
525566,537434,22108,1719,1,17434.0,21,4,0,0
517592,537773,21485,2021,1,16016.0,21,6,0,0
522986,537237,84380,2144,2,12237.0,21,4,0,0
519245,537868,21786,1859,24,12433.0,15,6,0,0
533088,536846,22443,1118,1,14573.0,21,1,0,0
507531,538815,22796,1705,2,18219.0,21,11,0,0
536115,536597,40001,2585,4,18011.0,21,0,0,0
498519,539650,84559A,44,2,14650.0,21,16,0,0
500174,539434,22962,1241,1,17434.0,21,14,0,0
521822,537666,22619,2186,2,13666.0,21,5,0,0
501014,539437,84970L,2303,2,13437.0,21,14,0,0
530992,536865,22501,1707,1,13865.0,21,2,0,0
519794,537484,72127,629,36,14733.0,21,5,0,0
507870,538524,22348,2439,1,12524.0,8,10,0,0
523995,537332,85123A,654,24,14344.0,21,4,0,0
517245,537743,22801,138,4,17706.0,21,6,0,0
503348,539255,22132,1951,12,16316.0,21,13,0,0
508920,538629,22639,2169,2,17799.0,21,10,0,0
512750,538311,22277,636,20,12785.0,16,8,0,0
531931,536735,22659,1389,128,17381.0,21,1,0,0
501996,539453,22142,565,1,14453.0,21,14,0,0
516635,538171,21871,2098,2,17530.0,21,7,0,0
512818,538313,22726,101,2,15514.0,21,8,0,0
501027,539437,85040A,2091,3,13437.0,21,14,0,0
528238,537201,22242,62,12,12472.0,8,3,0,0
503516,539269,85034B,32,4,17580.0,21,13,0,0
501022,539437,85032D,2699,1,13437.0,21,14,0,0
520846,537638,22746,1872,1,15638.0,21,5,0,0
535992,536592,84912B,1100,1,16592.0,21,0,0,0
532566,536796,21025,2369,1,15574.0,21,1,0,0
530128,536945,84969,399,1,14083.0,21,2,0,0
522290,537638,21955,767,1,15638.0,21,5,0,0
503097,539240,22222,428,12,15194.0,21,13,0,0
524815,537391,22966,1014,8,16550.0,21,4,0,0
503663,539294,71053,2607,2,15532.0,21,13,0,0
510506,538421,16218,478,5,17917.0,21,9,0,0
514706,538035,22757,1316,3,16065.0,21,7,0,0
512226,538202,82486,20,2,14667.0,21,8,0,0
504603,538992,22911,1659,1,15950.0,21,12,0,0
504716,539002,71053,2607,1,14527.0,21,12,0,0
503485,539264,21109,1303,24,15224.0,21,13,0,0
507390,538890,22355,515,5,12867.0,21,11,0,0
509840,538641,22423,2001,16,15640.0,21,10,0,0
499375,539325,85212,1467,72,13004.0,21,14,0,0
528483,537211,22694,2626,6,16143.0,21,3,0,0
533545,536398,22632,1133,12,13448.0,21,0,0,0
499561,539374,82486,20,2,14769.0,21,14,0,0
520877,537638,22891,2442,1,15638.0,21,5,0,0
527646,537153,21889,2641,10,16718.0,21,3,0,0
499587,539395,22966,1014,12,12471.0,8,14,0,0
502123,539458,84341B,2341,18,17458.0,21,14,0,0
532660,536797,90002D,912,4,16770.0,21,1,0,0
496136,539736,22697,1099,1,15736.0,21,17,0,0
498994,539470,22637,1714,3,14472.0,21,15,0,0
517629,537773,20727,1381,4,16016.0,21,6,0,0
506543,538849,85231B,596,3,14415.0,21,11,0,0
494983,539981,22096,1803,12,13304.0,21,19,0,0
529394,536865,85039A,2238,1,13865.0,21,2,0,0
505550,538688,84799,2378,48,14829.0,21,11,0,0
503578,539285,22569,875,4,15366.0,21,13,0,0
499931,539434,21232,2392,11,17434.0,21,14,0,0
511320,C538372,82582,149,-3,16923.0,21,9,0,0
534284,536522,22566,883,1,15012.0,21,0,0,0
496534,539744,21251,729,1,15744.0,21,17,0,0
528811,537224,22910,1662,4,13174.0,21,3,0,0
530384,536976,22470,1173,1,14723.0,21,2,0,0
509153,538637,48187,760,2,17611.0,21,10,0,0
495725,539708,22960,1243,1,16708.0,21,17,0,0
507196,538881,18098C,1874,3,12881.0,21,11,0,0
500573,539436,85039A,2238,1,16436.0,21,14,0,0
515298,538071,22276,2571,1,12071.0,21,7,0,0
498544,539653,82613A,1432,20,13564.0,21,16,0,0
511275,538518,90200E,1104,6,14505.0,21,9,0,0
501990,539453,22109,987,2,14453.0,21,14,0,0
502733,539144,35004C,2147,36,12980.0,21,13,0,0
